date,route_id,stop_id,stop_name,hour,day_of_week,is_weekend,is_holiday,peak_hour,passenger_count,bus_capacity,buses_allocated,distance_km,travel_time_min
2025-08-01,R101,S02,City Mall,12,4,0,0,0,81,40,4,14.37,53
2025-08-01,R101,S02,City Mall,13,4,0,0,0,78,40,2,6.22,24
2025-08-01,R101,S02,City Mall,14,4,0,0,0,87,40,3,8.05,22
2025-08-01,R101,S02,City Mall,15,4,0,0,0,73,40,2,14.7,50
2025-08-01,R101,S02,City Mall,16,4,0,0,0,41,40,1,8.01,25
2025-08-01,R101,S02,City Mall,17,4,0,0,1,154,40,4,13.45,42
2025-08-01,R101,S02,City Mall,18,4,0,0,1,165,40,6,12.41,47
2025-08-01,R101,S02,City Mall,19,4,0,0,1,153,40,4,12.29,37
2025-08-01,R101,S02,City Mall,20,4,0,0,1,150,40,3,9.99,29
2025-08-01,R101,S02,City Mall,21,4,0,0,0,35,40,1,10.31,35
2025-08-01,R101,S02,City Mall,22,4,0,0,0,26,40,2,7.38,28
2025-08-01,R101,S03,University,6,4,0,0,0,16,40,1,14.31,47
2025-08-01,R101,S03,University,7,4,0,0,1,148,40,3,7.8,28
2025-08-01,R101,S03,University,8,4,0,0,1,164,40,5,14.04,48
2025-08-01,R101,S03,University,9,4,0,0,1,140,40,4,4.07,14
2025-08-01,R101,S03,University,10,4,0,0,0,42,40,1,5.76,14
2025-08-01,R101,S03,University,11,4,0,0,0,91,40,3,13.86,44
2025-08-01,R101,S03,University,12,4,0,0,0,78,40,3,5.32,19
2025-08-01,R101,S03,University,13,4,0,0,0,84,40,2,8.46,21
2025-08-01,R101,S03,University,14,4,0,0,0,64,40,2,14.39,54
2025-08-01,R101,S03,University,15,4,0,0,0,102,40,4,14.44,52
2025-08-01,R101,S03,University,16,4,0,0,0,31,40,1,3.84,14
2025-08-01,R101,S03,University,17,4,0,0,1,177,40,5,8.22,20
2025-08-01,R101,S03,University,18,4,0,0,1,175,40,5,3.18,9
2025-08-01,R101,S03,University,19,4,0,0,1,183,40,4,13.52,46
2025-08-01,R101,S03,University,20,4,0,0,1,165,40,5,12.36,41
2025-08-01,R101,S03,University,21,4,0,0,0,19,40,2,14.23,56
2025-08-01,R101,S03,University,22,4,0,0,0,22,40,1,3.38,10
2025-08-01,R101,S04,Market,6,4,0,0,0,35,40,1,4.86,14
2025-08-01,R101,S04,Market,7,4,0,0,1,129,40,3,12.85,39
2025-08-01,R101,S04,Market,8,4,0,0,1,112,40,2,9.9,30
2025-08-01,R101,S04,Market,9,4,0,0,1,110,40,2,12.79,50
2025-08-01,R101,S04,Market,10,4,0,0,0,40,40,1,6.72,18
2025-08-01,R101,S04,Market,11,4,0,0,0,45,40,1,3.49,12
2025-08-01,R101,S04,Market,12,4,0,0,0,81,40,3,2.3,8
2025-08-01,R101,S04,Market,13,4,0,0,0,62,40,2,14.29,55
2025-08-01,R101,S04,Market,14,4,0,0,0,65,40,3,4.27,14
2025-08-01,R101,S04,Market,15,4,0,0,0,58,40,3,2.71,6
2025-08-01,R101,S04,Market,16,4,0,0,0,26,40,2,2.76,10
2025-08-01,R101,S04,Market,17,4,0,0,1,143,40,4,14.93,43
2025-08-01,R101,S04,Market,18,4,0,0,1,138,40,4,7.09,24
2025-08-01,R101,S04,Market,19,4,0,0,1,135,40,5,5.63,14
2025-08-01,R101,S04,Market,20,4,0,0,1,131,40,4,3.9,12
2025-08-01,R101,S04,Market,21,4,0,0,0,5,40,1,9.8,38
2025-08-01,R101,S04,Market,22,4,0,0,0,5,40,1,8.97,27
2025-08-01,R101,S05,Bus Terminal,6,4,0,0,0,36,40,1,2.14,7
2025-08-01,R101,S05,Bus Terminal,7,4,0,0,1,180,40,5,2.68,9
2025-08-01,R101,S05,Bus Terminal,8,4,0,0,1,176,40,5,7.83,30
2025-08-01,R101,S05,Bus Terminal,9,4,0,0,1,185,40,5,7.7,29
2025-08-01,R101,S05,Bus Terminal,10,4,0,0,0,44,40,3,3.33,11
2025-08-01,R101,S05,Bus Terminal,11,4,0,0,0,98,40,2,11.6,39
2025-08-01,R101,S05,Bus Terminal,12,4,0,0,0,120,40,2,4.8,12
2025-08-01,R101,S05,Bus Terminal,13,4,0,0,0,102,40,3,2.13,7
2025-08-01,R101,S05,Bus Terminal,14,4,0,0,0,93,40,3,12.63,37
2025-08-01,R101,S05,Bus Terminal,15,4,0,0,0,116,40,4,9.32,31
2025-08-01,R101,S05,Bus Terminal,16,4,0,0,0,51,40,2,11.63,42
2025-08-01,R101,S05,Bus Terminal,17,4,0,0,1,213,40,6,9.77,30
2025-08-01,R101,S05,Bus Terminal,18,4,0,0,1,194,40,5,9.39,35
2025-08-01,R101,S05,Bus Terminal,19,4,0,0,1,205,40,6,11.16,34
2025-08-01,R101,S05,Bus Terminal,20,4,0,0,1,180,40,6,2.93,7
2025-08-01,R101,S05,Bus Terminal,21,4,0,0,0,27,40,1,4.72,14
2025-08-01,R101,S05,Bus Terminal,22,4,0,0,0,18,40,1,10.2,34
2025-08-01,R101,S06,Industrial Area,6,4,0,0,0,7,40,1,7.85,24
2025-08-01,R101,S06,Industrial Area,7,4,0,0,1,104,40,4,9.59,28
2025-08-01,R101,S06,Industrial Area,8,4,0,0,1,75,40,2,9.5,28
2025-08-01,R101,S06,Industrial Area,9,4,0,0,1,74,40,1,10.54,42
2025-08-01,R101,S06,Industrial Area,10,4,0,0,0,24,40,1,12.66,37
2025-08-01,R101,S06,Industrial Area,11,4,0,0,0,58,40,2,4.51,12
2025-08-01,R101,S06,Industrial Area,12,4,0,0,0,62,40,2,11.91,44
2025-08-01,R101,S06,Industrial Area,13,4,0,0,0,59,40,1,5.47,14
2025-08-01,R101,S06,Industrial Area,14,4,0,0,0,67,40,2,3.03,10
2025-08-01,R101,S06,Industrial Area,15,4,0,0,0,59,40,2,8.38,24
2025-08-01,R101,S06,Industrial Area,16,4,0,0,0,19,40,1,10.18,40
2025-08-01,R101,S06,Industrial Area,17,4,0,0,1,103,40,3,14.69,47
2025-08-01,R101,S06,Industrial Area,18,4,0,0,1,101,40,2,8.83,33
2025-08-01,R101,S06,Industrial Area,19,4,0,0,1,107,40,2,12.74,39
2025-08-01,R101,S06,Industrial Area,20,4,0,0,1,93,40,3,11.95,38
2025-08-01,R101,S06,Industrial Area,21,4,0,0,0,14,40,2,3.01,11
2025-08-01,R101,S06,Industrial Area,22,4,0,0,0,10,40,1,3.17,8
2025-08-01,R102,S01,Central Station,6,4,0,0,0,31,40,1,3.82,10
2025-08-01,R102,S01,Central Station,7,4,0,0,1,129,40,4,8.34,29
2025-08-01,R102,S01,Central Station,8,4,0,0,1,101,40,3,2.58,6
2025-08-01,R102,S01,Central Station,9,4,0,0,1,117,40,3,11.47,45
2025-08-01,R102,S01,Central Station,10,4,0,0,0,27,40,1,4.71,14
2025-08-01,R102,S01,Central Station,11,4,0,0,0,69,40,2,10.47,28
2025-08-01,R102,S01,Central Station,12,4,0,0,0,73,40,2,4.18,13
2025-08-01,R102,S01,Central Station,13,4,0,0,0,73,40,2,4.97,16
2025-08-01,R102,S01,Central Station,14,4,0,0,0,85,40,2,7.41,22
2025-08-01,R102,S01,Central Station,15,4,0,0,0,73,40,3,5.65,18
2025-08-01,R102,S01,Central Station,16,4,0,0,0,25,40,1,7.51,29
2025-08-01,R102,S01,Central Station,17,4,0,0,1,124,40,3,11.19,29
2025-08-01,R102,S01,Central Station,18,4,0,0,1,126,40,4,3.87,10
2025-08-01,R102,S01,Central Station,19,4,0,0,1,145,40,5,13.6,42
2025-08-01,R102,S01,Central Station,20,4,0,0,1,151,40,5,8.43,32
2025-08-01,R102,S01,Central Station,21,4,0,0,0,29,40,2,11.31,35
2025-08-01,R102,S01,Central Station,22,4,0,0,0,6,40,1,8.8,23
2025-08-01,R102,S02,City Mall,6,4,0,0,0,21,40,1,8.27,32
2025-08-01,R102,S02,City Mall,7,4,0,0,1,110,40,4,4.03,11
2025-08-01,R102,S02,City Mall,8,4,0,0,1,128,40,3,10.79,30
2025-08-01,R102,S02,City Mall,9,4,0,0,1,109,40,3,12.82,33
2025-08-01,R102,S02,City Mall,10,4,0,0,0,40,40,1,4.84,16
2025-08-01,R102,S02,City Mall,11,4,0,0,0,62,40,2,9.34,25
2025-08-01,R102,S02,City Mall,12,4,0,0,0,72,40,3,12.35,47
2025-08-01,R102,S02,City Mall,13,4,0,0,0,70,40,2,13.42,41
2025-08-01,R102,S02,City Mall,14,4,0,0,0,62,40,2,3.52,13
2025-08-01,R102,S02,City Mall,15,4,0,0,0,50,40,3,4.56,12
2025-08-01,R102,S02,City Mall,16,4,0,0,0,21,40,1,11.58,29
2025-08-01,R102,S02,City Mall,17,4,0,0,1,135,40,3,6.0,16
2025-08-01,R102,S02,City Mall,18,4,0,0,1,129,40,4,11.87,32
2025-08-01,R102,S02,City Mall,19,4,0,0,1,116,40,3,4.68,17
2025-08-01,R102,S02,City Mall,20,4,0,0,1,117,40,3,10.27,37
2025-08-01,R102,S02,City Mall,21,4,0,0,0,5,40,2,6.75,25
2025-08-01,R102,S02,City Mall,22,4,0,0,0,26,40,1,10.05,40
2025-08-01,R102,S03,University,6,4,0,0,0,35,40,1,12.46,37
2025-08-01,R102,S03,University,7,4,0,0,1,116,40,4,13.93,43
2025-08-01,R102,S03,University,8,4,0,0,1,119,40,3,3.53,13
2025-08-01,R102,S03,University,9,4,0,0,1,95,40,3,14.58,39
2025-08-01,R102,S03,University,10,4,0,0,0,21,40,1,7.24,18
2025-08-01,R102,S03,University,11,4,0,0,0,78,40,2,10.71,27
2025-08-01,R102,S03,University,12,4,0,0,0,75,40,2,7.87,23
2025-08-01,R102,S03,University,13,4,0,0,0,68,40,2,3.96,10
2025-08-01,R102,S03,University,14,4,0,0,0,65,40,3,8.34,27
2025-08-01,R102,S03,University,15,4,0,0,0,73,40,3,5.17,17
2025-08-01,R102,S03,University,16,4,0,0,0,23,40,1,10.07,26
2025-08-01,R102,S03,University,17,4,0,0,1,113,40,2,12.85,36
2025-08-01,R102,S03,University,18,4,0,0,1,130,40,3,13.62,39
2025-08-01,R102,S03,University,19,4,0,0,1,134,40,4,4.44,12
2025-08-01,R102,S03,University,20,4,0,0,1,141,40,4,8.77,33
2025-08-01,R102,S03,University,21,4,0,0,0,5,40,1,14.67,41
2025-08-01,R102,S03,University,22,4,0,0,0,12,40,1,12.43,32
2025-08-01,R102,S04,Market,6,4,0,0,0,19,40,1,14.59,39
2025-08-01,R102,S04,Market,7,4,0,0,1,79,40,1,6.67,18
2025-08-01,R102,S04,Market,8,4,0,0,1,95,40,3,3.29,11
2025-08-01,R102,S04,Market,9,4,0,0,1,97,40,3,13.44,43
2025-08-01,R102,S04,Market,10,4,0,0,0,17,40,1,6.88,26
2025-08-01,R102,S04,Market,11,4,0,0,0,71,40,2,3.38,12
2025-08-01,R102,S04,Market,12,4,0,0,0,47,40,1,14.32,40
2025-08-01,R102,S04,Market,13,4,0,0,0,46,40,2,14.42,54
2025-08-01,R102,S04,Market,14,4,0,0,0,45,40,1,3.67,12
2025-08-01,R102,S04,Market,15,4,0,0,0,42,40,1,12.7,50
2025-08-01,R102,S04,Market,16,4,0,0,0,14,40,1,11.95,45
2025-08-01,R102,S04,Market,17,4,0,0,1,86,40,3,10.83,27
2025-08-01,R102,S04,Market,18,4,0,0,1,98,40,3,6.86,26
2025-08-01,R102,S04,Market,19,4,0,0,1,101,40,3,12.33,32
2025-08-01,R102,S04,Market,20,4,0,0,1,77,40,2,6.55,25
2025-08-01,R102,S04,Market,21,4,0,0,0,9,40,1,6.28,16
2025-08-01,R102,S04,Market,22,4,0,0,0,10,40,1,6.91,22
2025-08-01,R102,S05,Bus Terminal,6,4,0,0,0,35,40,2,8.2,31
2025-08-01,R102,S05,Bus Terminal,7,4,0,0,1,147,40,3,11.03,37
2025-08-01,R102,S05,Bus Terminal,8,4,0,0,1,144,40,4,9.69,30
2025-08-01,R102,S05,Bus Terminal,9,4,0,0,1,129,40,5,13.11,32
2025-08-01,R102,S05,Bus Terminal,10,4,0,0,0,23,40,1,6.97,18
2025-08-01,R102,S05,Bus Terminal,11,4,0,0,0,81,40,3,13.81,36
2025-08-01,R102,S05,Bus Terminal,12,4,0,0,0,70,40,1,10.62,27
2025-08-01,R102,S05,Bus Terminal,13,4,0,0,0,63,40,2,8.12,25
2025-08-01,R102,S05,Bus Terminal,14,4,0,0,0,99,40,3,2.5,7
2025-08-01,R102,S05,Bus Terminal,15,4,0,0,0,72,40,2,8.02,20
2025-08-01,R102,S05,Bus Terminal,16,4,0,0,0,24,40,2,10.86,35
2025-08-01,R102,S05,Bus Terminal,17,4,0,0,1,128,40,4,5.36,19
2025-08-01,R102,S05,Bus Terminal,18,4,0,0,1,159,40,4,5.52,19
2025-08-01,R102,S05,Bus Terminal,19,4,0,0,1,140,40,4,8.79,23
2025-08-01,R102,S05,Bus Terminal,20,4,0,0,1,150,40,3,3.74,10
2025-08-01,R102,S05,Bus Terminal,21,4,0,0,0,25,40,1,13.2,51
2025-08-01,R102,S05,Bus Terminal,22,4,0,0,0,5,40,1,6.7,25
2025-08-01,R102,S06,Industrial Area,6,4,0,0,0,17,40,1,11.41,40
2025-08-01,R102,S06,Industrial Area,7,4,0,0,1,87,40,3,12.31,32
2025-08-01,R102,S06,Industrial Area,8,4,0,0,1,47,40,3,3.55,12
2025-08-01,R102,S06,Industrial Area,9,4,0,0,1,64,40,2,7.32,22
2025-08-01,R102,S06,Industrial Area,10,4,0,0,0,7,40,2,9.36,28
2025-08-01,R102,S06,Industrial Area,11,4,0,0,0,38,40,1,12.56,47
2025-08-01,R102,S06,Industrial Area,12,4,0,0,0,40,40,1,5.64,16
2025-08-01,R102,S06,Industrial Area,13,4,0,0,0,29,40,1,5.99,23
2025-08-01,R102,S06,Industrial Area,14,4,0,0,0,33,40,1,4.0,14
2025-08-01,R102,S06,Industrial Area,15,4,0,0,0,32,40,1,3.48,13
2025-08-01,R102,S06,Industrial Area,16,4,0,0,0,12,40,1,5.93,19
2025-08-01,R102,S06,Industrial Area,17,4,0,0,1,82,40,4,14.11,38
2025-08-01,R102,S06,Industrial Area,18,4,0,0,1,89,40,3,10.7,37
2025-08-01,R102,S06,Industrial Area,19,4,0,0,1,91,40,4,8.93,34
2025-08-01,R102,S06,Industrial Area,20,4,0,0,1,87,40,2,7.24,28
2025-08-01,R102,S06,Industrial Area,21,4,0,0,0,5,40,1,6.43,17
2025-08-01,R102,S06,Industrial Area,22,4,0,0,0,8,40,1,8.86,32
2025-08-01,R103,S01,Central Station,6,4,0,0,0,42,40,3,11.23,38
2025-08-01,R103,S01,Central Station,7,4,0,0,1,92,40,4,7.85,30
2025-08-01,R103,S01,Central Station,8,4,0,0,1,77,40,2,7.49,26
2025-08-01,R103,S01,Central Station,9,4,0,0,1,98,40,2,13.93,37
2025-08-01,R103,S01,Central Station,10,4,0,0,0,14,40,1,13.94,44
2025-08-01,R103,S01,Central Station,11,4,0,0,0,39,40,1,13.39,52
2025-08-01,R103,S01,Central Station,12,4,0,0,0,59,40,2,10.21,33
2025-08-01,R103,S01,Central Station,13,4,0,0,0,32,40,1,3.3,10
2025-08-01,R103,S01,Central Station,14,4,0,0,0,26,40,1,10.27,39
2025-08-01,R103,S01,Central Station,15,4,0,0,0,55,40,2,3.14,10
2025-08-01,R103,S01,Central Station,16,4,0,0,0,18,40,1,8.83,30
2025-08-01,R103,S01,Central Station,17,4,0,0,1,92,40,3,7.76,29
2025-08-01,R103,S01,Central Station,18,4,0,0,1,87,40,2,11.53,45
2025-08-01,R103,S01,Central Station,19,4,0,0,1,89,40,2,4.04,12
2025-08-01,R103,S01,Central Station,20,4,0,0,1,86,40,3,14.88,58
2025-08-01,R103,S01,Central Station,21,4,0,0,0,5,40,1,7.17,25
2025-08-01,R103,S01,Central Station,22,4,0,0,0,5,40,1,4.63,13
2025-08-01,R103,S02,City Mall,6,4,0,0,0,11,40,1,8.37,32
2025-08-01,R103,S02,City Mall,7,4,0,0,1,62,40,2,8.4,22
2025-08-01,R103,S02,City Mall,8,4,0,0,1,65,40,2,4.36,12
2025-08-01,R103,S02,City Mall,9,4,0,0,1,45,40,2,2.51,9
2025-08-01,R103,S02,City Mall,10,4,0,0,0,22,40,1,14.15,39
2025-08-01,R103,S02,City Mall,11,4,0,0,0,43,40,2,6.31,24
2025-08-01,R103,S02,City Mall,12,4,0,0,0,38,40,1,12.74,47
2025-08-01,R103,S02,City Mall,13,4,0,0,0,41,40,2,7.0,22
2025-08-01,R103,S02,City Mall,14,4,0,0,0,42,40,1,8.78,23
2025-08-01,R103,S02,City Mall,15,4,0,0,0,32,40,2,12.75,46
2025-08-01,R103,S02,City Mall,16,4,0,0,0,10,40,1,6.19,20
2025-08-01,R103,S02,City Mall,17,4,0,0,1,83,40,3,8.39,21
2025-08-01,R103,S02,City Mall,18,4,0,0,1,80,40,1,3.42,13
2025-08-01,R103,S02,City Mall,19,4,0,0,1,98,40,3,11.76,43
2025-08-01,R103,S02,City Mall,20,4,0,0,1,94,40,3,6.95,24
2025-08-01,R103,S02,City Mall,21,4,0,0,0,17,40,1,11.94,40
2025-08-01,R103,S02,City Mall,22,4,0,0,0,5,40,2,8.35,27
2025-08-01,R103,S03,University,6,4,0,0,0,11,40,1,11.7,35
2025-08-01,R103,S03,University,7,4,0,0,1,66,40,2,5.86,22
2025-08-01,R103,S03,University,8,4,0,0,1,79,40,2,12.01,37
2025-08-01,R103,S03,University,9,4,0,0,1,49,40,2,10.95,32
2025-08-01,R103,S03,University,10,4,0,0,0,12,40,1,11.99,30
2025-08-01,R103,S03,University,11,4,0,0,0,39,40,2,5.27,19
2025-08-01,R103,S03,University,12,4,0,0,0,27,40,2,3.66,11
2025-08-01,R103,S03,University,13,4,0,0,0,50,40,2,6.56,24
2025-08-01,R103,S03,University,14,4,0,0,0,31,40,1,7.93,22
2025-08-01,R103,S03,University,15,4,0,0,0,45,40,3,11.68,46
2025-08-01,R103,S03,University,16,4,0,0,0,45,40,1,4.6,17
2025-08-01,R103,S03,University,17,4,0,0,1,68,40,2,5.69,18
2025-08-01,R103,S03,University,18,4,0,0,1,83,40,3,3.16,9
2025-08-01,R103,S03,University,19,4,0,0,1,80,40,2,3.66,12
2025-08-01,R103,S03,University,20,4,0,0,1,78,40,2,11.47,41
2025-08-01,R103,S03,University,21,4,0,0,0,16,40,2,6.7,20
2025-08-01,R103,S03,University,22,4,0,0,0,20,40,1,7.92,21
2025-08-01,R103,S04,Market,6,4,0,0,0,21,40,1,11.7,29
2025-08-01,R103,S04,Market,7,4,0,0,1,51,40,2,2.95,11
2025-08-01,R103,S04,Market,8,4,0,0,1,83,40,3,12.83,44
2025-08-01,R103,S04,Market,9,4,0,0,1,41,40,1,2.08,7
2025-08-01,R103,S04,Market,10,4,0,0,0,5,40,1,14.52,50
2025-08-01,R103,S04,Market,11,4,0,0,0,34,40,1,10.89,38
2025-08-01,R103,S04,Market,12,4,0,0,0,33,40,1,6.76,25
2025-08-01,R103,S04,Market,13,4,0,0,0,37,40,1,12.95,49
2025-08-01,R103,S04,Market,14,4,0,0,0,48,40,2,7.17,21
2025-08-01,R103,S04,Market,15,4,0,0,0,31,40,1,5.94,22
2025-08-01,R103,S04,Market,16,4,0,0,0,14,40,1,14.07,42
2025-08-01,R103,S04,Market,17,4,0,0,1,59,40,2,9.19,34
2025-08-01,R103,S04,Market,18,4,0,0,1,71,40,2,13.49,49
2025-08-01,R103,S04,Market,19,4,0,0,1,62,40,3,3.34,8
2025-08-01,R103,S04,Market,20,4,0,0,1,62,40,3,7.45,27
2025-08-01,R103,S04,Market,21,4,0,0,0,12,40,2,13.73,36
2025-08-01,R103,S04,Market,22,4,0,0,0,17,40,1,3.8,13
2025-08-01,R103,S05,Bus Terminal,6,4,0,0,0,5,40,1,6.43,18
2025-08-01,R103,S05,Bus Terminal,7,4,0,0,1,91,40,4,7.96,31
2025-08-01,R103,S05,Bus Terminal,8,4,0,0,1,85,40,4,2.92,8
2025-08-01,R103,S05,Bus Terminal,9,4,0,0,1,97,40,2,14.81,45
2025-08-01,R103,S05,Bus Terminal,10,4,0,0,0,17,40,1,9.45,24
2025-08-01,R103,S05,Bus Terminal,11,4,0,0,0,62,40,1,6.91,24
2025-08-01,R103,S05,Bus Terminal,12,4,0,0,0,42,40,2,7.32,18
2025-08-01,R103,S05,Bus Terminal,13,4,0,0,0,26,40,1,2.12,7
2025-08-01,R103,S05,Bus Terminal,14,4,0,0,0,59,40,2,6.58,22
2025-08-01,R103,S05,Bus Terminal,15,4,0,0,0,40,40,1,5.87,20
2025-08-01,R103,S05,Bus Terminal,16,4,0,0,0,5,40,2,8.72,29
2025-08-01,R103,S05,Bus Terminal,17,4,0,0,1,98,40,3,12.27,33
2025-08-01,R103,S05,Bus Terminal,18,4,0,0,1,95,40,3,9.65,28
2025-08-01,R103,S05,Bus Terminal,19,4,0,0,1,106,40,4,7.88,27
2025-08-01,R103,S05,Bus Terminal,20,4,0,0,1,106,40,3,12.79,40
2025-08-01,R103,S05,Bus Terminal,21,4,0,0,0,11,40,1,14.12,44
2025-08-01,R103,S05,Bus Terminal,22,4,0,0,0,5,40,1,6.02,23
2025-08-01,R103,S06,Industrial Area,6,4,0,0,0,13,40,1,13.65,49
2025-08-01,R103,S06,Industrial Area,7,4,0,0,1,48,40,2,3.05,9
2025-08-01,R103,S06,Industrial Area,8,4,0,0,1,52,40,2,8.14,22
2025-08-01,R103,S06,Industrial Area,9,4,0,0,1,38,40,1,13.43,35
2025-08-01,R103,S06,Industrial Area,10,4,0,0,0,6,40,1,10.53,37
2025-08-01,R103,S06,Industrial Area,11,4,0,0,0,31,40,1,12.34,34
2025-08-01,R103,S06,Industrial Area,12,4,0,0,0,38,40,1,2.08,6
2025-08-01,R103,S06,Industrial Area,13,4,0,0,0,36,40,1,8.2,27
2025-08-01,R103,S06,Industrial Area,14,4,0,0,0,27,40,1,7.86,22
2025-08-01,R103,S06,Industrial Area,15,4,0,0,0,21,40,1,7.58,29
2025-08-01,R103,S06,Industrial Area,16,4,0,0,0,14,40,1,6.13,18
2025-08-01,R103,S06,Industrial Area,17,4,0,0,1,41,40,2,13.67,48
2025-08-01,R103,S06,Industrial Area,18,4,0,0,1,44,40,1,10.27,38
2025-08-01,R103,S06,Industrial Area,19,4,0,0,1,67,40,2,12.41,39
2025-08-01,R103,S06,Industrial Area,20,4,0,0,1,56,40,1,10.18,37
2025-08-01,R103,S06,Industrial Area,21,4,0,0,0,5,40,1,2.09,7
2025-08-01,R103,S06,Industrial Area,22,4,0,0,0,13,40,1,5.41,16
2025-08-01,R201,S01,Central Station,6,4,0,0,0,46,40,3,3.74,9
2025-08-01,R201,S01,Central Station,7,4,0,0,1,147,40,3,2.39,8
2025-08-01,R201,S01,Central Station,8,4,0,0,1,147,40,4,11.86,30
2025-08-01,R201,S01,Central Station,9,4,0,0,1,146,40,4,6.09,21
2025-08-01,R201,S01,Central Station,10,4,0,0,0,43,40,2,4.27,15
2025-08-01,R201,S01,Central Station,11,4,0,0,0,94,40,2,5.53,21
2025-08-01,R201,S01,Central Station,12,4,0,0,0,98,40,3,8.49,22
2025-08-01,R201,S01,Central Station,13,4,0,0,0,94,40,3,2.52,9
2025-08-01,R201,S01,Central Station,14,4,0,0,0,68,40,2,12.0,39
2025-08-01,R201,S01,Central Station,15,4,0,0,0,87,40,3,13.29,37
2025-08-01,R201,S01,Central Station,16,4,0,0,0,23,40,1,3.37,10
2025-08-01,R201,S01,Central Station,17,4,0,0,1,163,40,5,5.28,15
2025-08-01,R201,S01,Central Station,18,4,0,0,1,170,40,6,8.0,25
2025-08-01,R201,S01,Central Station,19,4,0,0,1,176,40,5,10.35,33
2025-08-01,R201,S01,Central Station,20,4,0,0,1,159,40,3,11.68,35
2025-08-01,R201,S01,Central Station,21,4,0,0,0,5,40,1,12.76,42
2025-08-01,R201,S01,Central Station,22,4,0,0,0,19,40,2,2.23,7
2025-08-01,R201,S02,City Mall,6,4,0,0,0,55,40,3,2.74,10
2025-08-01,R201,S02,City Mall,7,4,0,0,1,128,40,4,13.52,52
2025-08-01,R201,S02,City Mall,8,4,0,0,1,130,40,4,9.42,27
2025-08-01,R201,S02,City Mall,9,4,0,0,1,147,40,4,4.15,13
2025-08-01,R201,S02,City Mall,10,4,0,0,0,35,40,1,11.49,42
2025-08-01,R201,S02,City Mall,11,4,0,0,0,74,40,2,10.4,40
2025-08-01,R201,S02,City Mall,12,4,0,0,0,76,40,2,9.4,30
2025-08-01,R201,S02,City Mall,13,4,0,0,0,75,40,2,13.9,35
2025-08-01,R201,S02,City Mall,14,4,0,0,0,61,40,1,3.02,7
2025-08-01,R201,S02,City Mall,15,4,0,0,0,59,40,2,7.81,23
2025-08-01,R201,S02,City Mall,16,4,0,0,0,48,40,2,3.42,13
2025-08-01,R201,S02,City Mall,17,4,0,0,1,146,40,5,9.89,26
2025-08-01,R201,S02,City Mall,18,4,0,0,1,145,40,4,14.41,54
2025-08-01,R201,S02,City Mall,19,4,0,0,1,143,40,4,8.81,23
2025-08-01,R201,S02,City Mall,20,4,0,0,1,152,40,4,7.18,28
2025-08-01,R201,S02,City Mall,21,4,0,0,0,40,40,1,9.0,28
2025-08-01,R201,S02,City Mall,22,4,0,0,0,20,40,1,10.59,29
2025-08-01,R201,S03,University,6,4,0,0,0,25,40,2,4.14,12
2025-08-01,R201,S03,University,7,4,0,0,1,139,40,4,14.22,56
2025-08-01,R201,S03,University,8,4,0,0,1,151,40,4,3.78,11
2025-08-01,R201,S03,University,9,4,0,0,1,135,40,4,3.48,13
2025-08-01,R201,S03,University,10,4,0,0,0,40,40,2,2.42,8
2025-08-01,R201,S03,University,11,4,0,0,0,55,40,1,7.59,29
